id_practica;nombre_practica;proposito;tipo;apto_para;descripcion_concreta;redactado;preguntas;ejemplo_inicial;ejemplo_primaria;ejemplo_secundaria;ejemplo_multigrado
11;Exploración sensorial al aire libre;Activacion;Sensorial;Grupo tímido o reservado, Grupo multigrado;Salimos brevemente al entorno para observar, escuchar y oler el contexto cercano.;Salimos brevemente al entorno para observar, escuchar y oler el contexto cercano.;¿Qué ven que antes no habían notado? ¿Qué sonidos nuevos descubren? ¿A qué huele hoy?;"Tema: El colegio. 

Descripción: ""Vamos a dar una vuelta por el patio. Miren el cielo, toquen el pasto, escuchen los pajaritos. ¿Qué cosas bonitas encontramos en nuestro colegio?""";"Tema: La fotosíntesis. 

Descripción: ""Salgamos al jardín. Toquen las hojas, miren hacia el sol. ¿Por qué las hojas están orientadas así? ¿Qué creen que están 'buscando'?""";"Tema: Contaminación ambiental. 

Descripción: ""Vamos a la calle por 5 minutos. En silencio, observen: ¿Qué fuentes de contaminación visual y auditiva identificamos? ¿Cómo afecta esto a quienes viven aquí?""";"Tema: La naturaleza. 

Descripción: Salen al patio. Los pequeños recogen hojas. Los grandes explican de qué árbol cayeron y por qué cambian de color."
12;Galería de imágenes;Activacion;Sensorial;Grupo numeroso;Colocamos imágenes en las paredes y los estudiantes caminan observándolas en silencio.;Colocamos imágenes en las paredes y los estudiantes caminan observándolas en silencio.;¿Qué imagen llamó más su atención? ¿Qué relación ven entre las imágenes?;"Tema: Los oficios. 

Descripción: ""Vamos a caminar en silencio mirando las fotos de diferentes oficios que están en las paredes. Luego me dicen cuál les gustó más.""";"Tema: Paisajes geográficos. 

Descripción: ""Recorran la galería de paisajes (montaña, playa, desierto, selva). Mientras observan, piensen: ¿En cuál les gustaría vivir? ¿Qué dificultades tendría cada lugar?""";"Tema: Arte - Fotografía documental. 

Descripción: ""Observen en silencio esta serie de fotografías de Sebastião Salgado. No hablen aún. Solo dejen que las imágenes les hablen. Luego escriban una palabra que resuma lo que sintieron.""";"Tema: Imágenes y descripción. 

Descripción: Recorren imágenes. Los pequeños señalan su favorita. Los mayores escriben por qué la eligieron."
13;Narración o historia;Activacion;Sensorial;Grupo numeroso (sonido amplificado);Contamos una breve historia, anécdota o leyenda relacionada con el tema.;Contamos una breve historia, anécdota o leyenda relacionada con el tema.;¿Qué parte de la historia les gustó más? ¿Qué harían ustedes en esa situación?;"Tema: Valores - La honestidad. 

Descripción: (Cuento breve de un niño que encuentra una moneda y la devuelve). ""¿Qué hizo el niño? ¿Ustedes qué habrían hecho?""";"Tema: La fundación de la ciudad. 

Descripción: (Relato corto de la leyenda de la fundación). ""¿Qué personajes aparecen? ¿Qué parte creen que es verdad y cuál es leyenda?""";"Tema: Filosofía - El mito de la caverna. 

Descripción: (Narrar el mito de la caverna de Platón con lenguaje accesible). ""¿Qué representa la caverna? ¿Y los prisioneros? ¿Y la luz exterior?""";"Tema: Cuentos. 

Descripción: Cuentan una historia corta. Los pequeños dibujan al personaje principal. Los grandes escriben el título que le pondrían."
14;Instrucción paradójica;Activacion;Sensorial;Grupo numeroso (sonido amplificado);Damos una instrucción imposible o absurda para generar reflexión.;Damos una instrucción imposible o absurda para generar reflexión.;¿Por qué no podemos hacerlo? ¿Qué nos falta?;"Tema: La imaginación. 

Descripción: ""Vamos a dibujar un círculo cuadrado. ¿Pueden? ¿Por qué no? ¡Usen la imaginación!""";"Tema: Sonido. 

Descripción: ""Vamos a escuchar el silencio absoluto por 10 segundos. ¿Pudieron? ¿Qué escucharon en realidad?""";"Tema: Física - Límites. 

Descripción: ""Intenten, mentalmente, imaginar el infinito. ¿Pudieron? ¿Qué forma le dieron? ¿Por qué es tan difícil para nuestra mente?""";"Tema: Imaginación. 

Descripción: ""Dibujen un perro volador."" Los pequeños dibujan lo que imaginan. Los grandes describen cómo sería ese perro."
15;Pregunta al aire;Activacion;Sensorial;Grupo numeroso (sonido amplificado);Lanzamos una pregunta al grupo sin esperar respuesta inmediata, solo para que la piensen.;Lanzamos una pregunta al grupo sin esperar respuesta inmediata, solo para que la piensen.;(No se responde, solo se piensa);"Tema: El universo. 

Descripción: ""¿Alguna vez han mirado las estrellas y se han preguntado qué hay más allá?""";"Tema: La muerte. 

Descripción: (Pregunta para dejar resonando) ""¿Por qué los seres vivos tenemos que morir?""";"Tema: Existencia. 

Descripción: (Pregunta filosófica para iniciar) ""¿Qué significa realmente 'existir'?""";"Tema: Preguntas simples. 

Descripción: ""¿Por qué el cielo es azul?"" Los pequeños imaginan respuestas creativas. Los grandes proponen hipótesis."
16;Cortometraje o videoclip;Activacion;Sensorial;Grupo numeroso;Proyectamos un video corto (1-3 min) que introduzca el tema de manera sugerente.;Proyectamos un video corto (1-3 min) que introduzca el tema de manera sugerente.;¿Qué escena recuerdan más? ¿Qué mensaje les dejó? ¿Qué preguntas les surgen?;"Tema: La amistad. 

Descripción: (Video de 1 minuto de Toy Story, donde los juguetes se ayudan). ""¿Qué hicieron los juguetes? ¿Por qué creen que se ayudaron?""";"Tema: El ciclo del agua. 

Descripción: (Video animado de 2 minutos sobre una gotita de agua que viaja). ""¿Por dónde viajó la gotita? ¿En qué estados del agua la vimos?""";"Tema: Cortometraje con valor social. 

Descripción: (Ver ""Cuerdas"" - cortometraje sobre inclusión). ""Sin hablar aún, escriban en su cuaderno qué sintieron al verlo. Luego compartiremos emociones y reflexiones sobre la inclusión.""";"Tema: Videos temáticos cortos. 

Descripción: Ven un video sobre animales. Los pequeños nombran los animales que vieron. Los grandes explican una característica de cada uno."
17;Fotografía en primer plano;Activacion;Sensorial;Grupo numeroso;Mostramos un detalle ampliado de una imagen para que deduzcan el todo.;Mostramos un detalle ampliado de una imagen para que deduzcan el todo.;¿Qué parte será? ¿A qué objeto más grande pertenece?;"Tema: Partes del cuerpo. 

Descripción: (Primer plano de un ojo). ""¿Qué parte del cuerpo será esto? ¿Para qué sirve?""";"Tema: Herramientas. 

Descripción: (Primer plano de la punta de un destornillador). ""¿Qué herramienta será? ¿Para qué se usa esa parte?""";"Tema: Arte - Detalles en pintura. 

Descripción: (Detalle de la mano en ""La Creación de Adán"" de Miguel Ángel). ""Observen este detalle. ¿Qué relación hay entre esos dedos? ¿Qué pintura famosa creen que es?""";"Tema: Objetos cotidianos. 

Descripción: (Primer plano de un lápiz, mostrando la punta y la madera). Los pequeños dicen lo que ven (punto negro, madera). Los grandes adivinan el objeto completo."
18;Adivinanza en cadena;Activacion;Lúdica;Grupo inquieto o disperso, Poco tiempo disponible, Después del recreo;Un estudiante piensa en algo relacionado con el tema y los demás hacen preguntas para adivinarlo.;Un estudiante piensa en algo relacionado con el tema y los demás hacen preguntas para adivinarlo.;¿Qué preguntas nos acercan más a la respuesta? ¿Cómo podemos clasificar lo que ya sabemos?;"Tema: Animales domésticos. 

Descripción: ""Pensé en un animal que vive en las casas, tiene bigotes y dice 'miau'. ¿Qué preguntas me harían para adivinarlo?""";"Tema: Personajes históricos. 

Descripción: ""Pensé en un personaje importante de nuestra historia. Pueden hacer preguntas de 'sí' o 'no' para descubrir quién es. Piensen bien sus preguntas para descartar muchos.""";"Tema: Conceptos científicos. 

Descripción: ""Pensé en un concepto clave de la física. Solo pueden hacer preguntas de 'sí' o 'no'. Deben usar su conocimiento para formular preguntas estratégicas que los lleven a la respuesta (gravedad, energía, átomo...).""";"Tema: Animales. 

Descripción: El docente piensa en un animal. Los pequeños preguntan: ""¿Vuela?"" Los mayores preguntan: ""¿Es mamífero?"" y toman nota de las pistas."
19;Bingo de conceptos;Activacion;Lúdica;Grupo inquieto o disperso, Después del recreo;Los estudiantes tienen tarjetas con conceptos y deben marcar cuando el docente menciona uno relacionado.;Los estudiantes tienen tarjetas con conceptos y deben marcar cuando el docente menciona uno relacionado.;¿Qué palabra nueva escucharon? ¿Por qué creen que esa palabra pertenece a nuestro tema?;"Tema: La familia. 

Descripción: ""En sus cartones tienen dibujos de miembros de la familia. Yo iré diciendo acciones: 'La persona que cocina', 'Quien nos lleva al colegio'. ¡A marcar!""";"Tema: Verbos (Lengua). 

Descripción: ""En sus cartones tienen verbos en infinitivo. Yo leeré oraciones. Si el verbo que yo uso en la oración está en su cartón, márquenlo. ¡Gana quien complete una línea!""";"Tema: Revolución Francesa. 

Descripción: ""Sus cartones tienen personajes, fechas y conceptos (Robespierre, 1789, Estados Generales). Yo narraré breves situaciones históricas. Si identifican el concepto, personaje o fecha, lo marcan.""";"Tema: Vocabulario común. 

Descripción: Cartón con imágenes para pequeños, con palabras para grandes. El docente dice la palabra, los pequeños marcan la imagen, los grandes la palabra."
20;Carrera de observación;Activacion;Lúdica;Grupo inquieto o disperso, Poco tiempo disponible, Después del recreo;En equipos, buscan objetos o imágenes escondidas en el aula siguiendo pistas.;En equipos, buscan objetos o imágenes escondidas en el aula siguiendo pistas.;¿Cómo organizaron la búsqueda? ¿Qué pista fue la más difícil? ¿Qué aprendieron en el camino?;"Tema: Los colores. 

Descripción: ""Busquen por el salón 5 objetos de color rojo. ¿Listos? ¡A buscar! ¿Qué encontraron? ¿Dónde estaba el más escondido?""";"Tema: Figuras geométricas. 

Descripción: ""Por equipos, deben encontrar en el aula: algo con forma de círculo, algo con forma de triángulo y algo con forma de rectángulo. ¡El primer equipo que traiga los tres objetos gana!""";"Tema: La célula. 

Descripción: ""Por grupos, tienen 3 minutos para encontrar en el salón objetos que puedan servir como analogías de partes de la célula. (Ej: una bolsa transparente = membrana, una canica = núcleo, gelatina = citoplasma). Luego explicarán su elección.""";"Tema: Objetos y formas. 

Descripción: Los pequeños buscan objetos por color o forma simple. Los mayores leen las pistas escritas y guían al equipo."
21;El tingo tingo tango temático;Activacion;Lúdica;Grupo inquieto o disperso, Poco tiempo disponible, Después del recreo;Mientras suena música, pasan un objeto. Quien se queda con él responde una pregunta o realiza un reto.;Mientras suena música, pasan un objeto. Quien se queda con él responde una pregunta o realiza un reto.;¿Cómo te sentiste al quedar con el objeto? ¿Qué aprendiste con la pregunta que te tocó?;"Tema: Frutas y verduras. 

Descripción: (Suena música, pasan una pelota). Quien se queda con ella dice el nombre de una fruta que le guste. ¡A participar todos!""";"Tema: Tablas de multiplicar. 

Descripción: ""Mientras suena la canción, pasamos este marcador. Cuando pare la música, quien lo tiene debe responder rápido: '7 x 8'.""";"Tema: Literatura - Autores y obras. 

Descripción: ""Pasan este libro. Al parar la música, deben mencionar una obra del autor que yo nombre. Si no saben, pueden pedir ayuda a un compañero.""";"Tema: Preguntas mixtas. 

Descripción: Quien queda con el objeto responde según su nivel. Pequeños: nombran un color. Grandes: responden una pregunta de tabla o concepto."
22;Estatuas musicales con variante;Activacion;Lúdica;Grupo inquieto o disperso, Poco tiempo disponible, Después del recreo;Bailan mientras suena la música. Al parar, deben quedarse quietos imitando algo relacionado con el tema.;Bailan mientras suena la música. Al parar, deben quedarse quietos imitando algo relacionado con el tema.;¿Por qué eligieron esa postura? ¿Qué están representando?;"Tema: Animales salvajes. 

Descripción: ""Bailamos libremente... ¡y al parar la música, todos se convierten en estatuas de leones! ¡A rugir (pero en estático)!""";"Tema: Profesiones. 

Descripción: ""Bailamos... ¡Alto! Ahora todos son estatuas de un oficio. ¡A ver si adivino qué están representando! (Unos fingen escribir en pizarrón, otros fingen cocinar).""";"Tema: Esculturas famosas. 

Descripción: ""Bailan libremente. Al parar la música, deben convertirse en una estatua famosa que hayamos visto en clase (El Pensador, David, Venus). Sus compañeros deben adivinar cuál es.""";"Tema: Representación corporal. 

Descripción: Todos bailan. Al parar, los pequeños imitan un animal (elefante). Los grandes imitan una profesión (médico). Los pequeños adivinan la profesión de los grandes."
23;Juego rápido;Activacion;Lúdica;Grupo inquieto o disperso, Poco tiempo disponible, Después del recreo;Proponemos un juego breve y conocido que active la atención y la participación colectiva.;Proponemos un juego breve y conocido que active la atención y la participación colectiva.;¿Qué estrategia usaron? ¿Cómo podemos hacerlo más difícil/divertido?;"Tema: Las partes del cuerpo. 

Descripción: ""Vamos a jugar a 'Simón dice'. ¡Simón dice que se toquen la cabeza! ¡Simón dice que levanten un pie! ¡A saltar! (sin decir Simón dice)... ¡Uy, me equivoqué, a ver si me siguen!""";"Tema: Sinónimos y antónimos (Lengua). 

Descripción: ""Jugaremos al 'Alto' pero con una regla especial. En la columna de objetos, solo valen sinónimos de 'bonito'. ¿'Hermoso' sirve? ¡Correcto! Ahora en 'color', solo antónimos de 'claro'.""";"Tema: Clasificación de números (Matemáticas). 

Descripción: ""Jugaremos 'Tierra, Mar, Aire' pero con números. Yo grito 'múltiplo de 3' y ustedes, antes de que cuente hasta 3, deben decir un número que cumpla. Si digo 'número primo', ¿cuál dicen?""";"Tema: Atención y reacción. 

Descripción: ""Juguemos al 'Reino de los opuestos'"". El docente da una orden y los niños deben hacer lo contrario. (Ej: ""Toca tu cabeza"" -> ellos tocan sus pies). Los pequeños participan con acciones simples, los mayores con consignas complejas."
24;Acertijo;Activacion;Cognitiva;Tema complejo o abstracto, Grupo pequeño (debate);Presentamos un enigma lógico o verbal para que los estudiantes lo resuelvan en grupo.;Presentamos un enigma lógico o verbal para que los estudiantes lo resuelvan en grupo.;¿Por dónde empezamos? ¿Están seguros? ¿Qué pasaría si...?;"Tema: Características de los objetos. 

Descripción: ""Tengo patas pero no camino, tengo respaldo pero no me siento, y en las noches te ayudo a dormir. ¿Qué soy?"" (La cama).";"Tema: Ecuaciones simples (Matemáticas). 

Descripción: ""Soy un número. Si me sumas 5 y luego me restas 3, obtienes 8. ¿Qué número soy? ¿Por dónde empezamos a resolver?""";"Tema: Biografías (Lengua/Historia). 

Descripción: ""Nací en una familia humilde en Argentina, luché por la independencia de varios países, soy conocido como 'El Libertador' y un país lleva mi nombre. ¿Quién soy? (San Martín). ¿Qué pistas fueron claves?""";"Tema: Adivinanzas y resolución. 

Descripción: Se presenta una adivinanza (la cama). Los pequeños dibujan la respuesta. Los mayores, además de responder, escriben otra adivinanza similar para los pequeños."
25;Pregunta problematizadora;Activacion;Cognitiva;Tema complejo o abstracto, Grupo pequeño (debate);Lanzamos una pregunta que no tiene respuesta inmediata o única, generando debate inicial.;Lanzamos una pregunta que no tiene respuesta inmediata o única, generando debate inicial.;¿Qué opinan? ¿Alguien piensa diferente? ¿Qué necesitaríamos saber para responder mejor?;"Tema: El agua. 

Descripción: ""¿Qué pasaría si un día despertamos y no sale agua de ninguna llave? ¿Cómo sería nuestro día?""";"Tema: La contaminación. 

Descripción: ""Si tirar una bolsa plástica al río tarda 500 años en desaparecer, ¿dónde creen que están ahora las bolsas que se tiraron hace 100 años? ¿Qué problema vemos?""";"Tema: Ética y tecnología. 

Descripción: ""Si pudiéramos crear una inteligencia artificial que tomara todas las decisiones del gobierno y eliminara la corrupción humana, ¿deberíamos hacerlo? ¿Qué ganaríamos y qué perderíamos?""";"Tema: Cuidado del ambiente. 

Descripción: ""¿Por qué es importante no botar basura en el patio?"" Los pequeños responden con ideas simples. Los grandes profundizan en consecuencias a largo plazo."
26;Frase incompleta;Activacion;Cognitiva;Tema complejo o abstracto, Grupo pequeño (debate);Presentamos el inicio de una frase para que los estudiantes la completen con sus ideas.;Presentamos el inicio de una frase para que los estudiantes la completen con sus ideas.;¿Quién quiere compartir cómo completó su frase? ¿Alguien la completó diferente?;"Tema: Los amigos. 

Descripción: ""Un amigo es alguien que siempre..."" Completemos la frase cada uno en nuestra mente. ¿Quién quiere compartir?""";"Tema: La democracia. 

Descripción: ""Completen en su cuaderno: 'La democracia funciona cuando...' Luego compartiremos algunas respuestas y veremos qué tienen en común.""";"Tema: Identidad cultural. 

Descripción: ""Escriban en una palabra o frase corta cómo completarían: 'Ser de este país significa...' Reflexionaremos sobre las coincidencias y diferencias en sus respuestas.""";"Tema: Valores. 

Descripción: ""La amistad es..."" Los pequeños dibujan lo que piensan. Los grandes escriben una frase y la leen."
27;Asociación libre;Activacion;Cognitiva;Tema complejo o abstracto, Grupo pequeño (debate);Decimos una palabra central y los estudiantes dicen todo lo que se les viene a la mente.;Decimos una palabra central y los estudiantes dicen todo lo que se les viene a la mente.;¿Por qué creen que dijeron esas palabras? ¿Qué relación tienen con la palabra inicial?;"Tema: El mar. 

Descripción: ""Yo digo 'mar' y ustedes dicen la primera palabra que se les ocurra. ¡Vamos! (agua, olas, peces, vacaciones, arena...)""";"Tema: El colegio. 

Descripción: ""Yo digo 'escuela'. En una hoja, cada uno escribe todas las palabras que asocie en 1 minuto. Luego veremos cuáles se repiten más.""";"Tema: Globalización. 

Descripción: ""Escriban individualmente todas las palabras que asocien con 'globalización'. Luego, en grupo, construiremos una red de conceptos y veremos las relaciones que establecieron.""";"Tema: La familia. 

Descripción: Los pequeños dicen palabras (mamá, papá). Los grandes las escriben y agregan otras más complejas (abuelos, tíos, primos, convivencia)."
